,Unnamed: 0,Rule 1,Rule 2,Initial clusters,CA Silhoutte,Kmeans Silhoutte,New Clusters,New CA Silhoutte,New Kmeans Silhoutte
12,12,755961615,2222699760,28,0.15625,0.15625,2,0.2953619279927975,0.7663611080988648
2,2,755961615,2021161080,28,0.15625,0.15625,2,0.2953619279927975,0.7663611080988648
59,59,755961615,267448335,28,0.15625,0.15625,2,0.2953619279927975,0.7663611080988648
39,39,755961615,3789677025,28,0.15625,0.15625,2,0.2953619279927975,0.7663611080988648
45,45,755961615,4031508660,28,0.15625,0.15625,2,0.2953619279927975,0.7663611080988648
11,11,755961615,2222699700,28,0.15625,0.15625,2,0.2953619279927975,0.7663611080988648
34,34,755961615,3539005680,28,0.15625,0.15625,2,0.2953619279927975,0.7663611080988648
50,50,755961615,4040348370,28,0.15625,0.15625,2,0.2953619279927975,0.7663611080988648
9,9,755961615,2218767540,28,0.15625,0.15625,2,0.2953619279927975,0.7663611080988648
48,48,755961615,4038389940,28,0.15625,0.15625,2,0.2953619279927975,0.7663611080988648
33,33,755961615,3538955760,28,0.15625,0.15625,2,0.2953619279927975,0.7663611080988648
13,13,755961615,2273806215,28,0.15625,0.15625,2,0.2953619279927975,0.7663611080988648
214,214,252656880,2072267535,5,-0.4895386444046765,0.6348250348539115,2,0.2948556937388848,0.7663611080988648
28,28,2526451350,1016918172,13,-0.157037232694345,0.453930565729425,2,0.2929256372277168,0.7663611080988648
28,28,1263225675,3777826605,3,-0.2551360468696194,0.5206351999771719,2,0.2921728519047382,0.7663611080988648
3,3,1016918172,4027576560,25,0.0598162851016573,0.212747251558989,2,0.2912521597311668,0.7663611080988648
2,2,1016918172,4027576335,26,0.0620588834576169,0.2038472555369759,2,0.2912521597311668,0.7663611080988648
7,7,1016918172,4035440880,25,0.0598162851016573,0.212747251558989,2,0.2912521597311668,0.7663611080988648
12,12,1016918172,4042264560,26,0.0620588834576169,0.2038472555369759,2,0.2912521597311668,0.7663611080988648
19,19,1016918172,267448335,26,0.0620588834576169,0.2038472555369759,2,0.2912521597311668,0.7663611080988648
10,10,1016918172,4040348370,26,0.0620588834576169,0.2038472555369759,2,0.2912521597311668,0.7663611080988648
13,13,1016918172,4042272240,26,0.0620588834576169,0.2038472555369759,2,0.2912521597311668,0.7663611080988648
8,8,1016918172,4038389940,26,0.0620588834576169,0.2038472555369759,2,0.2912521597311668,0.7663611080988648
